Summary,Severity
Differentiate between 'Bookmarks Menu' and 'Bookmarks' in the Customize Dialog,normal
Tag auto-completion in tag edit field of bookmark works only for first tag,normal
Bookmarks property changes do not sync,normal
Dragged out tabs trigger Bookmarks drop down menu outside their native profile,normal
Bookmarks menu button always shows text when on bookmarks toolbar,normal
Style the bookmarks arrow panel,normal
Profile migration per -migration doesn't migrate bookmarks,normal
"History, Bookmarks menus too wide because of pages with long titles",normal
Bookmark sync: use SQL for all read operations,normal
custom toolbars should be positioned immediately below bookmarks toolbar,normal
Having the bookmarks sidebar open affects speed of web page rendering,normal
"Theme-inconsistent, blue background highlight when bookmarks are moved into a subfolder in bookmarks toolbar",normal
Right-click on bookmarks in folders not possible anymore on Mac,normal
using the middle-click in history when multiple items selected no longer works in 2.0.10,minor
tab detach failed and insertion mark got stuck on bookmarks toolbar,normal
Bookmarks Toolbar Items near-invisible in Menu Bar with Ubuntu Radiance Gnome theme,normal
New storage format for place: queries,normal
"The text ""Show all bookmarks"" in Firefox menu is misleading",normal
Dragging bookmarks onto a folder on bookmarks toolbar causes folder to temporarily lose radii,normal
Accesskey (Alt+S) for search field in Bookmarks sidebar blocks opening the History menu,normal
Font/spacing change in Bookmarks Toolbar,normal
Port browser parts of |Bug 631374 - Adding or removing tags in the selector listbox always scrolls to top| to SeaMonkey,normal
[meta] Platform improvements that affect Sync,normal
Replacing existing tabs when opening bookmark group/folder doesn't work,normal
History window isn't updated when entry is deleted,normal
Firefox updates bookmarks favicons while In Private Browsing.,normal
"Bookmarks should ""Switch to Tab"" for app tabs",normal
"Show""bookmark all tabs"" in bookmarks menu if navigated to via ""firefox"" button or menu bar",normal
[Mac] Pulldown bookmarks menus change translucency while scrolling,minor
Bookmarks menu dropdown doesn't tidy up task bar,normal
"Add Lion Toolbar Texture to Tabs, NavBar, BookmarksBar and Additional Toolbars",normal
about:blank tabs not overwritten when opening multiple bookmarks,normal
bookmarks in toolbar disappear after being crowded out by tabs,normal
Adding device re-ordered bookmarks toolbar,normal
Bookmarks Notify schedule feature are lost,normal
Bookmarks toolbar reordering caret doesn't disappear,normal
"Port ""Time range to clear"" from Firefox to SeaMonkey's ""Clear private data"" dialog",normal
"middle-click bookmark loads in current empty tab, even if another site is already loading in that tab",normal
Text urls that don't have the leading protocol should be draggable to the bookmarks toolbar,normal
bookmarks menu malfunctions with 'focus follows mouse',normal
Bookmarks separators lost their labels,normal
"New Bookmark Default Folder Should Be ""Unsorted Bookmarks""",normal
Add F2 shortcut for bookmark/folder renaming to Bookmarks Manager,normal
Highlighted item in Bookmarks submenu can come decoupled with mouse position.,normal
Bookmark separator expands the bookmarks toolbar size by a noticiable amount of pixels,normal
[Bookmarks Library] signal name `selection_changed' is invalid for instance `xxxxxxxx`,normal
Cmd click modifier doesn't work in history and bookmarks menus,normal
"[SeaMonkey] ""ASSERTION: aIndex is out of range: 'aIndex &lt; mLength' ... xul!nsSHistory::EvictOutOfRangeContentViewers"" in tests, 1 chrome and 23 browser-chrome",major
The History and Bookmarks sidebars are still styled in the Firefox 3.x theme,normal
The tabs bar items are not displayed right when the Bookmarks toolbar is placed next to it,normal
The user cannot disable the Bookmarks toolbar after moving it to a custom location,normal
History's group by day show some entries in wrong groups.,normal
Imported stock bookmarks that are removed actually are still in DB,normal
Allow bookmarks/history on sdcard,normal
Generalize code for startup open folder in awesomescreen's bookmarks tab,normal
Default highlighting in Dialog Box when Filing Bookmark or Group of Bookmarks is faulty or awkward.,normal
Bookmarks toolbar sometimes gets stuck scrolling down in a folder,normal
"Just lost my bookmarks, despite still being synced w/ desktop Firefox",normal
"Session bookmarking (""Bookmark this group of tab"") omits repeated entries",normal
Clicking back takes two taps in AwesomeScreen bookmarks on HW keyboard,normal
Firefox Sync duplicating and scrambling bookmarks & folders,major
[meta] Bookmarks sync reliability issues,normal
Windows version does not import *all* bookmarks/settings from IE,normal
Add UI to clear all Top Sites and all Bookmarks,normal
[Robocop] Tests for distribution bookmarks,normal
Glitches when hovering over Previous or Bookmarks buttons with any lightweight theme,normal
Bookmarks Hidden / bookmarks button menu goes outside its tile of the tiling window manager,normal
"Dragging a bookmark icon on the Bookmarks Toolbar causes ASSERTION: Wrong bounds: 'bounds.IsEqualInterior(aChildren.GetBounds(aBuilder))', FrameLayerBuilder.cpp",normal
Desktop Bookmarks folder cannot be removed after syncing,normal
"It can be hard to hit the Bookmarks menu on Windows, because the ""New Tab"" submenu obscures it",normal
"Hide ""View Bookmarks Toolbar"" from the [bookmarks toolbar button] menu if the Bookmarks Toolbar has been customized away",normal
BookmarksListView's scrollbar size varies while scrolling,normal
Displaying website icons in the Recently Closed Tabs list,normal
Drag-n-drop preview of items dragged into iframe (e.g. bookmarks sidebar frame or devtools) doesn't appear until pointer exits iframe. [Dragging and dropping interaction with iframes],normal
"[story] As a user, I want all of my bookmarks to be synced across my devices so that I have them whenever and wherever I need them.",normal
"[story] As a user, I want all of my data (history, bookmarks, etc.) to be saved on my local machine whether or not I've set up a Firefox Account, so I am still able to build up a collection of data and personalize my Firefox experience over time.",normal
Split BrowserProvider into History and Bookmarks,normal
[TABLET] Pinned bookmarks are truncated,normal
Should be able to hover between [bookmarks menu] and [bookmark folders] if they are on the same toolbar,minor
Accessing synced bookmarks requires 5 clicks on Firefox for Android,normal
Follow-up: Adjust alignment of Bookmarks homescreen empty view,normal
Rename BookmarksListView styles to something more generic,normal
(Mac) Recently Closed Tabs menu items open random tabs in that menu,normal
Bookmarks menu slow to respond on mouse over,normal
Distinguish clicks on the bookmarks menu button menu and actual bookmarks,normal
make downloads button icon pulse like bookmarks list button icon,normal
Keyword added to a bookmark will also be added to other bookmarks if the bookmarks are the same,normal
All Bookmarks icon uses yellow stars instead of the new blue color or updated icon (on Linux),normal
The bookmarks menu (accessed through the toolbar button) is laggy,normal
[Australis] Text is zoomed when clicking on Bookmarks widget while in Customize mode,minor
Implement recent bookmarks view in the bookmarks menu,normal
Right Click->Delete in Bookmarks menu unter particular circumstances has no effect or greyed out,normal
"The toolbar context menu items (collapse/uncollapse toolbars, and enter customize mode) should be present on the context menu for the Bookmarks Toolbar Items",normal
Subview footer in bookmarks panel not centered in Linux and Mac OS X,normal
"Tab Detaching: drag and drop onto bookmarks, home button, etc.",normal
Use HTTP cache v2 API in unit tests,normal
Write a Mercurial hook that prevents local bookmarks from being accidentally pushed,normal
Better support for reusing icons in distribution and default bookmarks,normal
"Don't redundantly store ""[]"" in bookmarks table for ""tags"".",normal
Resizeble bookmark properties panel in Bookmarks Manager,normal
tooltip is not exposed on toolbar buttons from bookmarks toolbar,normal
Allow bookmarks for content included in distribution files,normal
show homescreen bookmarks as separate entries in app switcher,normal
Add automated test for creating bookmarks in private browsing,normal
[UX] Make bookmarks list more attractive,normal
Sidebar (Bookmarks + History): Double-right-click on Folder does single click action,trivial
Android 4.3 testBookmarkFolders | Trying to click on the Desktop Bookmarks folder - The Desktop Bookmarks folder was clicked,normal
Consider adding an option to delete all items from the reading list and/or bookmarks,normal
"Align action buttons in ""Export bookmarks"" dialog consistently",normal
Remove success/failure callbacks from the bookmarks API,normal
Bookmarks should include a meta description if available,normal
Remove default bookmarks,normal
The context menu bookmark star state doesn't update when the bookmarks button has been moved out of the toolbar,normal
Telemetry probes for default bookmarks,normal
[OS X] Layout issues when Bookmarks Toolbar is placed in the Tab bar,normal
The window itself can be dragged by dragging the bookmarks bar (or the menu button separator) when a lightweight theme is in use,normal
Bookmarks toolbarbutton hover state looks broken on Windows 8,normal
[meta] Sync bookmarks,normal
Make default bookmarks more configurable,normal
"Use ""split pane styling"" for Bookmarks Panel on Tablets in landscape",normal
[Windows] Bookmarks are not migrated while importing data from about:preferences#security,normal
Separators in bookmarks popup in australis menu (≡) have strange dots at the left side (aka remove left and right borders for separators),normal
Bookmark folder that contains the imported reading list items has the same name as the imported bookmarks folder,normal
An empty folder is imported if there are no bookmarks in Edge/IE favorites toolbar,normal
Canceling drag-n-drop of bookmark on a subfolder collapses the whole bookmarks popup,normal
Bookmarks toolbar shrinks in size when Bookmarks Toolbar Items is moved out of the Bookmarks toolbar in customization mode,normal
Dropmarker in bookmarks button placed on tabs toolbar is off-center,trivial
Devtools resizer isn't placed directly under mouse cursor during resizing if Menu bar or Bookmarks sidebar opens/closes,normal
[meta] Improve Bookmarks management,normal
Remind users of saved bookmarks,normal
Provide Capability to Expire History Entries by Age,normal
Glitches opening show all bookmarks folders from edit this bookmark,trivial
"Indicate ""unread"" bookmarks",normal
Experiment with showing saved PDFs in from bookmarks panel,normal
Add telemetry for screenshot items in Bookmarks panel view,normal
Investigate proper date formatting for locales in BookmarksScreenshotRow,normal
Consider requested STORAGE permission sooner for screenshots in bookmarks,normal
Create L10N Snapshot Test for Bookmarks Panel,normal
Mouse over highlight bookmarks context menuitem disappears when downloads are in progress,normal
Create bookmarks during each pull,normal
Unable to navigate up a parent nor root bookmark folder from 'Mobile Bookmarks',normal
"Remove ""Reading List"" folder from Bookmarks in guest mode",normal
Tab Bar is half visible when Bookmarks Toolbar Items is dragged into it,major
Nightly does not jump to html ID bookmarks upon tab/page load (page.html#bookmarkID),normal
Bookmarks to include URL link under the website or not,normal
"Drag and drop of webpage favicon to Bookmarks Sidebar creates bookmark from wrong browser tab or even ""about:blank"" bookmark",normal
Folder dropmarkers in bookmarks sidebar don't update correctly (don't redraw until folder is hovered),normal
Submenu of Bookmarks panel disappears if I hover mouse over it,normal
"Focus outline on dark theme is barely noticeable (bookmarks sidebar, identity block)",normal
In some cases expanded folder in bookmarks menu isn't scrolled into view when I hover mouse over its submenu (100% str),normal
Menu bar opened via F10 doesn't close if I click outside of it (if I clicked bookmarks folder),normal
Context menu of bookmarks folder collapse if I right-click another folder,normal
"Opened folders in bookmarks lose ""pressed"" effect if I drag bookmark items around",normal
Submenu of bookmarks folder collapse if I hover mouse over the folder after moving mouse over another item,normal
Submenus opened from menupopup are displayed below the menu,normal
Bookmarks panel doesn't remember it's scroll position,normal
[meta] Investigate Firefox hanging while importing bookmarks/history/passwords from Google Chrome,normal
"""Bookmarks Folders path Pane"" in 'Bookmark this Group of TABS',  'File Bookmark' should use all available hight of Bookmarks Dialog",minor
"When browser is maximized, PlacesChevron in Bookmarks Toolbar no longer reacts with mouse at the rightmost pixel",normal
"[meta] Create a library button to show Recent Bookmarks, Recent Downloads, History, Synced Tabs, Screenshots, and Pocket List",normal
"Drag scroll is too sensitive(too early to start), when I drag a link to bookmarks toolbar, page scrolls up few line",normal
[Meta] Allow simple bidirectional bookmarks syncing,normal
XCSyncUITests for history and bookmarks,normal
'Open all Bookmarks in TABs' will not open bookmarks if TAB header would exceed page width,normal
Display a warning  when removing a folder with multiple bookmarks,normal
"Fix tests from Bug 1293618 ""Clear History from Private Data"" completely broken",major
Port bug 1459856: Stop using PlacesUtils.asyncHistory in Seamonkey tests,normal
Port Bug 1460570 - Merge mozIAsyncFavicons into nsIFaviconService,normal
Add hg-aggregate as a trusted group without breaking mozilla-unified's bookmarks,normal
Bring back the keywords column to the the SeaMonkey Library,normal
Drag and Drop funktion for sorting bookmarks,normal
SeaMonkey Bookmarks Library Usability Issues,normal
"Consider showing the mobile bookmarks query if you're syncing with mobile, even if there are no mobile bookmarks",normal
Report active bookmarks mirror statements at shutdown,normal
Measure interaction with bookmarks synced from other devices,normal
"Update ""When you open a link in a new tab, switch to it immediately"" to apply to bookmarks (match Safari's ""When a new tab or window opens, make it active"")",normal
Support XMPP bookmarks (XEP-0048),normal
Make migrating more prominent from Library Menu > Bookmarks,normal
Add an option to load new opened tab(s) in background from SeaMonkey/SM's Library.,normal
mozilla-unified bookmarks for trees like e.g. autoland sometimes updated with delay,normal
[macOS][dark theme] - correct styling for New Folder button when adding Bookmarks,S4
[meta] Migrate keyword bookmarks into about:prefences managed Search Engines, --
Add bookmarks menu on Chatzilla window,normal
Deleting history items from sidebar horked,normal
Browser history not cleared during SeaMonkey shutdown,S1
Replace `nsAString` with `nsAUTF8String` in the bookmarks mirror,normal
Update docs in SyncedBookmarksMirror.jsm,S4
Investigate Bookmarks::Reorder behavior with several thousands bookmarks,normal
[Win] The dropdown from Folder section ( New Bookmark/Edit This Bookmark panels) doesn't collapse when the Choose option is accessed with the down arrow keyboard,normal
Tags gets duplicated inside the Library when attempting to change the Location,normal
[mac] Scroll bar disappear on scrolling inside bookmarks and history menus (with permanent scroll bar turned on in system preferences),S3
The URL autofill incorrectly for about:about page added to bookmarks,normal
Add fake one-offs for history/bookmarks/etc,S3
Remove or simplify expensive saved-to-library animation,normal
Allow for home screen bookmarks,normal
Too little padding on left & right side of bookmarks toolbar,minor
Still sometimes moved and newly added bookmarks are placed in incorrect and wrong order in folder in Library,normal
Middle click bookmarklets doesn't work,normal
Consider Managed Bookmarks folder,normal
Unwanted Margin in Edit Bookmarks panel offsets Button and Title 1px to the right,trivial
"Submenus of Bookmarks open small menu, then expand to full size",major
"investigate if we can push filtering down into a sql query, instead of filtering at FilterResultSet()",normal
"in the case of a frecency tie, break it with h.typed and h.visit_count",normal
Make bookmark dialogs non instant-apply (Firefox hangs when canceling bookmarks dialog after a huge amount of repeated actions),major
Bookmark with invalid URI cannot be deleted (Exception: NS_ERROR_MALFORMED_URI @ PTV_getCellText],normal
xulstore is keeping a quasi history via place: and find: urls in RDF:about attributes,normal
Cleanup places command handling,normal
Simplify the code for searching places views,normal
"Use the view ""active"" property to avoid background work when custom views are in use",normal
"Intermittent testAboutHomePageNavigation | Waiting for HomePager BOOKMARKS panel. | testAboutHomeVisibility | The Toolbar title is - got about:home - Yahoo Search Results, expected",normal
Bookmarks popup would not scroll with mouse wheel when mouse pointer on a folder,normal
bookmarks.search fails on non-http(s) URLs,normal
Sort Bookmarks from recent to old,normal
Remove unecessary .bookmarks-toolbar rule from widget-overflow and appmenu-popup elements.,normal
Keyboard modifiers should alter the behavior of clicking bookmarks in the native menu,normal
Disappearing bookmarklets in my bookmarks toolbar after Syncing,normal
"for pages that are images, store a scaled (16 x 16 px) and resampled version of the image as the favicon",normal
Minimized Bookmarks Manager window won't accept drop targets nor raise its window,major
prevent the user from dropping bookmarks in the middle of a selection,normal
Bookmark tags with comma and quotes can not be matched,normal
Regression: middle clicking on a bookmark does not respect browser.tabs.loadBookmarksInBackground,normal
Search in bookmarks loses sort (should use position key),normal
"Searching in Tags should search for an existing tag and not in ""All Bookmarks""",normal
"Inconsistent shortcut keys for ""new tab/new window""",trivial
when doing Bookmark All Tabs allow for tags multiediting,normal
on bookmarks toolbar we often get dragleave for buttons rather than for toolbar,normal
Places tree view sometimes improperly restores multiple selection,normal
pressing Enter in tags autocomplete (not popup) closes bookmarks dialogs,normal
consider using JSON rather than HTML for default Firefox bookmarks,normal
What should views do if their root node's item is removed?,normal
Bookmark properties dialog should show position of the bookmark,normal
Show each visit (instead of just the last visit) in History,normal
Handle orphaned bookmarks if a folder is improperly deleted,normal
Sort bookmarks list with most recently added ones at the top,normal
Don't suggest tags that have already been used for a bookmark,normal
moving mouse from chevron to folders on the bookmarks toolbar does not auto-open popups,normal
Only visible items selected after press Ctrl+A on Library - Downloads,normal
"Deleting a bookmark doesn't refresh the ""Edit This Bookmark"" item in the Bookmarks menu",normal
Locale mismatch in the sidebar title on startup in new language,normal
bookmarks.search doesn't allow quoted search terms,normal
Tapping back via Android's navigation bar while in a folder in bookmarks brings up the long press back popup,normal
"Intermittent browser/components/places/tests/browser/browser_toolbar_overflow.js | The first bookmark is visible - """" == ""visible"" - JS frame :: chrome://mochitests/content/browser/browser/components/places/tests/browser/browser_toolbar_overflow.js",normal
Intermittent browser/components/places/tests/browser/browser_editBookmark_keywords.js | Test timed out -,normal
Library - Can't create a new folder if places.xhtml is open in content,normal
On first load dropmarker-menu bookmarks toolbarmenu shows very briefly scrollarrows,minor
Ctrl-Z (undo) reveals visited URLs AFTER clearing history,normal
Home button doesn't show icon in customize window when dragged from Bookmarks Toolbar,normal
Hover blink with on disabled menu items in context menu of bookmarks popup,normal
Multiple bookmark folders shown as a result of right-click and left-click combination's on Bookmarks menus,trivial
"Add unicode-in-all-fields bookmarks, history, tabs, etc. to crossweave tests",normal
Bookmarks deleted on 2 computers - suspect sync issue,normal
Clicking outside the bookmarks menu consumes click events,normal
Customization Mode: Bookmarks toolbar item doesn't have any animation,normal
Bookmarks look very big and don't always match the style of toolbar,normal
Intermittent testReadingListToBookmarksMigration | application crashed [@ libdvm.so + 0x81f52],critical
